English,Português
a,um
about,sobre
all,todos
also,também
and,e
as,como
at,no
be,ser
because,porque
but,mas
by,por
can,pode
come,vir
could,poderia
day,dia
do,fazer
even,até
find,encontrar
first,primeiro
for,para
from,de
get,pegar
give,dar
go,ir
have,ter
he,ele
her,dela
here,aqui
him,ele
his,dele
how,como
I,EU
if,se
in,em
into,em
it,isto
its,isso é
just,apenas
know,saber
like,como
look,olhar
make,fazer
man,homem
many,muitos
me,meu
more,mais
my,meu
new,novo
no,não
not,não
now,agora
of,de
on,sobre
one,um
only,apenas
or,ou
other,outro
our,nosso
out,fora
people,pessoas
say,dizer
see,ver
she,ela
so,então
some,alguns
take,pegar
tell,dizer
than,que
that,que
the,o
their,deles
them,eles
then,então
there,lá
these,esses
they,eles
thing,coisa
think,pensar
this,esse
those,aqueles
time,tempo
to,para
two,dois
up,acima
use,usar
very,muito
want,querer
way,caminho
we,nós
well,bem
what,o que
when,quando
which,qual
who,Quem
will,vai
with,com
would,seria
year,ano
you,você
your,seu